"","ProvNum","Provenance.Number","LatitudeDegree","LatitudeDecimal","LongitudeDegree","LongitudeDecimal","Elevation_ft","X1985MeanHt_ft","BudBurst_JD","BudSet_JD","ID2","Latitude","Longitude","Elevation","Tmax_wt","Tmax_sp","Tmax_sm","Tmax_at","Tmin_wt","Tmin_sp","Tmin_sm","Tmin_at","Tave_wt","Tave_sp","Tave_sm","Tave_at","PPT_wt","PPT_sp","PPT_sm","PPT_at","Rad_wt","Rad_sp","Rad_sm","Rad_at","DD_0_wt","DD_0_sp","DD_0_sm","DD_0_at","DD5_wt","DD5_sp","DD5_sm","DD5_at","DD_18_wt","DD_18_sp","DD_18_sm","DD_18_at","DD18_wt","DD18_sp","DD18_sm","DD18_at","NFFD_wt","NFFD_sp","NFFD_sm","NFFD_at","PAS_wt","PAS_sp","PAS_sm","PAS_at","Eref_wt","Eref_sp","Eref_sm","Eref_at","CMD_wt","CMD_sp","CMD_sm","CMD_at","RH_wt","RH_sp","RH_sm","RH_at","CMI_wt","CMI_sp","CMI_sm","CMI_at","MAT","MWMT","MCMT","TD","MAP","MSP","AHM","SHM","DD_0","DD5","DD_18","DD18","NFFD","bFFP","eFFP","FFP","PAS","EMT","EXT","MAR","Eref","CMD","RH","CMI","DD1040","daylength_diff"
"11",697,"PA-697","39 57",39.95,"75 22",-75.36666667,200,34.2,147,220,"PA",39.95,-75.367,-9999,4.8,16.8,29,19,-4,5.5,17.5,8,0.4,11.1,23.2,13.5,250,278,304,264,8,16,20.3,11.5,180,17,0,6,63,631,1677,807,1575,674,15,503,0,44,492,93,6,60,92,68,31,1,0,0,49,275,440,196,21,41,136,1,67,64,67,66,22.1,9.88,-5.94,5.66,12.1,24.3,-0.7,25.1,1096,489,20.1,49.7,202,3178,2767,630,225,113,293,180,32,-25.5,39.2,14,959,199,66,31.69,1888,5.67749579110514
"12",699,"NJ-699","39 48",39.8,"74 46",-74.76666667,20,36.3,148,213,"NJ",39.8,-74.767,-9999,6,17.3,29.1,19.7,-3.9,5.2,17,7.9,1,11.2,23.1,13.8,261,273,301,259,8.4,16.5,20.4,12.1,156,15,0,5,72,632,1661,828,1521,666,17,480,0,43,477,97,6,58,92,67,25,0,0,0,53,285,451,205,23,53,150,15,64,62,65,63,22.5,8.47,-7.23,3.8,12.3,24.2,-0.1,24.3,1095,471,20.4,51.4,176,3194,2685,617,223,115,293,178,26,-25.5,39.2,14.3,994,241,64,27.54,1885,5.64590261995881
"13",702,"MI-702","42 24",42.4,"84 24",-84.4,875,38.8,144,201,"MI",42.4,-85.4,-9999,0.6,14.4,27.8,16.5,-8.1,2.2,14.5,5.1,-3.7,8.3,21.1,10.8,151,228,261,220,5.3,15.3,19.7,11.5,422,48,0,19,21,461,1485,608,1950,913,36,694,0,23,323,44,2,41,92,58,79,5,0,2,0,251,439,174,0,50,177,14,65,61,61,64,14.53,7.26,-10.83,3.52,9.1,22.2,-5.2,27.4,860,417,22.2,53.2,489,2575,3594,390,193,126,282,156,86,-30.4,38.7,12.9,864,241,63,14.48,1471,6.21828361734679
"14",705,"MI-705","42 02",42.03333333,"85 58",-85.96666667,600,28.6,148,211,"MI",42.033,-85.967,-9999,0.7,14.5,27.7,16.7,-7.9,2.7,14.9,5.3,-3.6,8.6,21.3,11,173,237,272,231,5.2,15.7,20.2,11.7,413,43,0,18,23,480,1497,623,1938,884,34,681,0,25,333,47,2,45,92,59,88,4,0,1,0,251,435,177,0,46,163,12,65,62,63,64,16.64,8.12,-9.09,4.37,9.3,22.3,-5.2,27.5,913,433,21.2,51.4,474,2623,3537,406,198,124,283,159,93,-30.2,38.6,13.2,863,221,63,20.06,1502,6.13412556443341
"15",707,"NY-707","42 26",42.43333333,"78 55",-78.91666667,1110,28.4,144,204,"NY",42.433,-78.917,-9999,0.9,13,25.8,15.8,-7.9,1.1,13.6,5.2,-3.5,7,19.7,10.5,218,230,257,269,5.2,14.8,20.8,10.5,409,61,0,17,21,371,1350,572,1931,1025,68,714,0,12,227,33,2,34,92,58,108,11,0,2,0,236,407,164,0,42,149,0,65,61,64,66,21.12,9.65,-6.65,9.92,8.4,20.8,-4.7,25.5,974,433,18.9,48,486,2315,3738,272,186,130,281,151,121,-30,36.4,12.8,806,191,64,34.04,1257,6.22590901856597
"16",719,"QUE-719","46 40 ",46.66666667,"71 50",-71.83333333,10,28,145,201,"QUE",46.663826,-71.847142,-9999,-5.4,9.3,23.8,11.4,-15.8,-1.9,11.9,2,-10.6,3.7,17.8,6.7,244,222,324,284,5.1,17.2,19.1,7.5,963,171,0,64,2,249,1183,344,2566,1322,135,1038,0,8,122,9,0,30,92,38,238,74,0,24,0,161,366,119,0,22,45,0,56,61,64,69,24.35,13.24,4.6,17.62,4.4,19.2,-12.1,31.3,1073,516,13.4,37.2,1198,1779,5060,139,159,140,269,129,336,-38.7,35.9,12.2,646,67,62,59.81,912,7.29413340704992
"17",725,"KY-725","37 27",37.45,"84 01",-84.01666667,1020,39.5,146,219,"KY",37.45,-84.017,-9999,7.4,19.2,28.9,20,-4.5,5,15.8,6.1,1.4,12.1,22.4,13.1,303,332,319,248,6.9,17.6,22.7,14.4,143,11,0,7,82,695,1595,769,1487,593,22,535,0,49,411,83,5,59,92,60,25,0,0,0,94,324,470,231,29,45,151,36,58,57,62,57,25.67,10.02,-7.66,0.16,12.2,23.2,0.2,23.1,1202,512,18.5,45.4,160,3140,2637,542,215,118,286,167,26,-26.5,38.7,15.4,1119,261,58,28.19,1811,5.17107628700322
"18",727,"OH-727","40 22",40.36666667,"83 04",-83.06666667,940,24.4,148,215,"OH",40.367,-83.067,-9999,2.6,16.1,28.5,18,-6.9,3.5,15,5.3,-2.1,9.8,21.7,11.7,175,251,266,188,5.4,15.7,21.9,13,314,27,0,14,34,543,1538,669,1807,782,28,635,0,31,365,60,3,50,92,58,60,1,0,1,0,275,458,199,0,45,192,47,63,60,61,60,16.04,7.13,-12.11,-2.32,10.3,22.7,-3.5,26.2,879,423,23,53.8,355,2785,3252,457,203,123,283,160,62,-29.3,39,14,932,284,61,8.74,1603,5.76619602792136
"19",731,"ONT-731","42 40",42.66666667,"80 22",-80.36666667,400,25.3,147,206,"ONT",42.667,-80.367,-9999,-0.2,11.6,25.3,14.9,-7.6,1.7,14.3,5.8,-3.9,6.6,19.8,10.4,208,233,226,236,-9999,-9999,-9999,-9999,437,67,0,18,20,351,1361,565,1965,1060,66,725,0,12,235,32,2,36,92,61,113,16,0,2,0,212,387,151,0,40,161,0,70,67,67,71,20.34,12.08,-7.3,8.58,8.2,20.9,-5.2,26.1,904,377,20.1,55.4,521,2297,3816,280,191,128,284,156,131,-29.6,36.4,-9999,750,201,68,33.69,1255,6.28025958403003
"20",734,"ONT-734","44 02",44.03333333,"79 27",-79.45,750,33.3,142,200,"ONT",44.033,-79.45,-9999,-2.3,10.2,24.5,13.5,-10.5,0.1,12.8,4.1,-6.4,5.1,18.7,8.8,170,178,222,189,7.3,16.7,21.8,10.1,621,112,0,30,10,287,1259,462,2187,1194,101,855,0,9,166,19,1,32,92,52,138,31,0,4,0,168,380,140,0,39,158,12,66,65,65,70,16.92,7.82,-7.22,5.44,6.6,19.8,-7.7,27.5,759,353,21.8,56.2,762,2018,4337,194,177,135,277,142,173,-33,36,14,688,209,66,22.97,1062,6.60776789133778
"21",741,"IA-741","42 75",42.75,"95 55",-95.55,650,37,146,212,"IA",42.75,-95.55,-9999,-1.5,14.3,28.6,16.4,-12.7,1.5,15.1,3,-7.1,7.9,21.9,9.7,52,191,279,150,5.2,17.4,22.4,11.7,682,73,0,39,11,480,1550,563,2255,952,27,789,0,31,377,39,0,38,92,49,45,11,0,3,0,215,450,178,0,65,170,31,55,58,61,57,5.21,3,-11.45,-4.13,8.1,23.1,-9.8,32.8,673,448,26.9,51.5,794,2604,4023,448,180,126,276,151,59,-36.1,40.9,14.2,843,266,58,-7.38,1524,6.29965662240427
"22",745,"IN-745","40 24",40.4,"86 51",-86.85,650,25.5,144,216,"IN",40.4,-86.85,-9999,2,16.2,28.8,18.1,-7.3,4.2,16.1,5.8,-2.7,10.2,22.4,12,147,255,291,190,4.6,15.7,20.2,12.9,352,27,0,14,32,581,1602,698,1856,754,20,619,0,40,418,70,2,56,92,60,57,1,0,1,0,272,452,198,0,41,161,41,63,62,63,62,13.56,7.73,-8.96,-1.89,10.5,23.5,-4.6,28.1,882,449,23.2,52.2,392,2913,3249,529,210,118,286,168,59,-29.8,39.7,13.3,922,243,63,10.43,1718,5.77327103528488
"23",747,"IN-747","40 48",40.8,"86 24",-86.4,700,27.6,146,216,"IN",40.8,-86.4,-9999,1.8,15.7,28.6,17.9,-7.7,3.4,15.3,5.3,-3,9.5,22,11.6,159,256,286,212,4.5,15.6,20.4,12.3,369,32,0,16,29,536,1561,670,1881,808,25,643,0,32,380,62,2,51,92,59,68,2,0,1,0,269,457,196,0,41,170,23,62,60,61,61,14.9,8.3,-10.03,0.4,10,23,-4.6,27.6,914,457,21.9,50.4,417,2796,3356,474,203,121,284,162,71,-30.2,39.4,13.2,922,234,61,13.57,1628,5.85969108613563
"24",748,"MI-748","41 57",41.95,"86 51",-86.85,650,26.1,148,203,"MI",41.95,-86.01666667,-9999,0.8,14.6,27.7,16.8,-7.8,2.8,14.9,5.3,-3.5,8.7,21.3,11.1,175,239,271,233,4.7,15.4,20.2,11.8,407,42,0,17,23,485,1498,628,1929,876,34,675,0,26,334,48,2,46,92,59,87,4,0,1,0,252,436,178,0,45,164,12,65,62,63,64,16.81,8.21,-9.19,4.4,9.4,22.3,-5.2,27.4,917,433,21.1,51.4,465,2634,3515,408,199,124,283,159,92,-30.2,38.6,13,866,221,63,20.24,1508,6.11525469425958
"25",813,"ONT-813","45 50",45.83333333,"76 54",-76.9,330,24.9,143,201,"ONT",45.833,-76.9,-9999,-4.7,10.7,25.3,12.6,-15.6,-1.9,12,2.3,-10.2,4.4,18.6,7.4,175,176,232,219,5.9,17.2,20.5,8.7,928,157,0,53,4,284,1256,393,2526,1264,101,973,0,12,163,13,0,30,92,38,170,49,0,13,0,177,397,133,0,54,166,0,54,57,61,66,17.51,6.9,-8.54,9.21,5.1,19.9,-11.9,31.8,802,379,18.8,52.6,1138,1937,4864,188,160,139,270,131,232,-38.3,37.5,13.1,708,220,60,25.08,1022,7.06871768856824
"26",814,"IL-814","37 40",37.66666667,"89 16",-89.26666667,520,26.8,144,215,"IL",37.667,-89.267,-9999,6.9,19.8,31.1,21.1,-3.5,7.4,18.4,8.2,1.7,13.6,24.7,14.7,227,327,302,228,6.2,16.9,21.8,15.1,134,8,0,5,88,830,1814,909,1461,490,7,435,0,89,627,134,6,64,92,66,16,0,0,0,89,319,492,235,26,43,189,59,63,62,64,61,18.26,9.85,-12.8,-2.87,13.7,25.7,0.2,25.5,1084,481,21.9,53.3,147,3641,2394,850,227,108,295,187,16,-25.3,41.2,15,1134,317,62,12.44,2258,5.21342327972611
"27",815,"IL-815","37 90",37.9,"89 81",-89.81,550,37.4,144,211,"IL",37.9,-89.81,-9999,6.7,20,31.7,21.2,-4.3,6.8,18,7.4,1.2,13.4,24.8,14.3,189,298,276,224,6.1,17,22.2,14.9,154,9,0,6,79,813,1823,881,1510,509,7,458,0,87,636,126,4,62,92,63,16,0,0,0,63,326,508,239,26,58,232,61,60,60,61,58,14.78,6.25,-17.85,-3.98,13.4,25.9,-0.6,26.5,987,460,23.7,56.4,169,3596,2485,849,221,110,292,181,16,-26.4,42.1,15,1136,377,60,-0.8,2231,5.2592164051824
"28",817,"KY-817","37 00",37,"89 00",-89,500,35.7,NA,223,"KY",37,-89,-9999,7.9,20.4,31.3,21.5,-2.7,8,18.7,8.4,2.6,14.2,25,15,281,358,285,255,6,17.1,21.3,14.8,109,7,0,4,110,874,1837,934,1386,448,7,414,0,100,649,142,7,67,92,68,14,0,0,0,96,326,493,242,29,32,208,46,63,62,64,60,22.8,12.07,-14.48,-0.84,14.2,25.9,1,25,1179,488,20.5,53.2,120,3754,2254,891,233,106,296,190,14,-24.2,41.2,14.8,1157,315,62,19.55,2330,5.08416684063755
"29",836,"WV-836","39 38",39.63333333,"79 56",-79.93333333,1200,22,145,205,"WV",39.633,-79.933,-9999,5.3,17.8,28.5,18.9,-5.1,4.2,15.4,6.1,0.1,11,22,12.5,218,284,303,214,5,14.8,20.3,11.6,194,17,0,9,56,618,1559,726,1606,682,25,571,0,38,381,70,4,55,92,60,32,1,0,0,52,300,459,208,22,47,156,27,62,57,62,60,18.8,7.56,-8.36,-0.98,11.4,22.8,-1,23.8,1019,478,21,47.7,220,2959,2884,489,211,121,286,165,33,-27.1,38.4,12.9,1018,252,60,17.01,1702,5.61092033932908
